"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://unfoldgrowth.com.br/","2","Um sistema de crescimento, não mais uma série de ações isoladas.","64","Resolvemos os desafios que travam seu crescimento.","50","Indexable",""
"https://unfoldgrowth.com.br/politica-de-privacidade","2","1. Quem somos","13","2. Dados coletados","18","Indexable",""
"https://unfoldgrowth.com.br/blog/como-estruturar-um-time-de-growth","2","Por que ""montar um time de growth"" é a pergunta errada","54","As seis funções que precisam existir","36","Indexable",""
"https://unfoldgrowth.com.br/blog/sdr","2","O que é SDR e o que ele faz","27","SDR, BDR, LDR e closer: quem faz o quê","38","Indexable",""
"https://unfoldgrowth.com.br/blog","2","LTV: como calcular o valor do cliente sem assinatura e sem churn","64","Marketing B2B: o que é e por que o trabalho dele não é gerar leads","66","Indexable",""
"https://unfoldgrowth.com.br/contato","2","Como é a primeira conversa","26","O que fazemos","13","Indexable",""
"https://unfoldgrowth.com.br/cases","2","De 12 para 4 semanas no ciclo de fechamento com pipeline estruturado.","69","Operação de inside sales do zero para R$ 4MM em pipeline em um ciclo.","69","Indexable",""
"https://unfoldgrowth.com.br/ferramentas","2","Calculadora de Tráfego","22","Diagnóstico de Growth","21","Indexable",""
"https://unfoldgrowth.com.br/ferramentas/calculadora-trafego","2","Acessar a Calculadora","21","O que ela calcula","17","Indexable",""
"https://eleicoes.unfoldgrowth.com.br/featwork","2","O Brasil digital, em números.","29","As cinco verdades de 2026.","26","Indexable",""
"https://unfoldgrowth.com.br/termos","2","1. Aceitação dos termos","23","2. Serviços oferecidos","22","Indexable",""
"https://unfoldgrowth.com.br/metodo","2","Um sistema, não uma série de ações.","35","Como o sistema funciona na prática.","35","Indexable",""
"https://unfoldgrowth.com.br/atuacao","2","Da especificação ao fechamento: growth para quem vende na construção.","69","Não achou seu segmento de mercado? Você pode ser nosso primeiro case de sucesso.","80","Indexable",""
"https://unfoldgrowth.com.br/blog/funil-de-vendas","2","O que é funil de vendas","23","As etapas clássicas, e o que o modelo tradicional acerta","56","Indexable",""
"https://unfoldgrowth.com.br/diagnostico","2","Dados da sua empresa","20","O que o relatório mostra","24","Indexable",""
"https://unfoldgrowth.com.br/blog/como-escolher-o-funil-de-vendas-certo","2","Motor e funil: dois níveis que geram confusão","45","O que é PLG (e quando ele funciona)","35","Indexable",""
"https://unfoldgrowth.com.br/sobre","2","Por que a Unfold existe","23","No que acreditamos","18","Indexable",""
"https://unfoldgrowth.com.br/blog/funil-de-marketing-x-funil-de-vendas","2","O que é funil de marketing","26","O que é funil de vendas","23","Indexable",""
"https://unfoldgrowth.com.br/blog/geracao-de-demanda-x-geracao-de-leads-por-que-mais-leads-podem-estar-piorando-suas-vendas-b2b","2","Os dois relatórios que não conversam","36","Primeira camada: só 5% do seu mercado está pronto para comprar","62","Indexable",""
"https://unfoldgrowth.com.br/blog/crm-para-incorporadora-como-organizar-o-funil-de-lancamento","2","O CRM não é o problema (nem a solução)","38","As etapas do funil de um lançamento","35","Indexable",""
"https://unfoldgrowth.com.br/blog/como-calcular-o-cac-da-incorporadora","2","A fórmula do CAC","16","Quais custos incluir (e quais não)","34","Indexable",""
"https://unfoldgrowth.com.br/ferramentas/mapa-icp","2","Um ICP chapado não sustenta uma venda de comitê.","48","O mapa completo da sua conta-alvo.","34","Indexable",""
"https://unfoldgrowth.com.br/blog/integracao-entre-marketing-e-vendas","2","O que é integração entre marketing e vendas","43","RevOps, traduzido","17","Indexable",""
"https://unfoldgrowth.com.br/blog/automacao-de-marketing-e-vendas-para-incorporadora","2","Automação amplifica o processo que existe","41","O que faz sentido automatizar","29","Indexable",""
"https://unfoldgrowth.com.br/blog/processo-comercial","2","Processo, funil, pipeline, playbook e metodologia","49","Os cinco componentes de um processo comercial","45","Indexable",""
"https://unfoldgrowth.com.br/blog/estande-de-vendas-digital-integracao-fisico-e-online","2","O erro de tratar estande e digital como mundos separados","56","O digital antes do estande: aquecer e qualificar","48","Indexable",""
